2022;The European Physical Journal D 76 (5);TheEuropeanPhysicalJournalD76(5);Electron-impact excitation of the 5$$\varvec {^ 2\textbf {S} _ {1/2}\rightarrow 5^ 2\textbf {P} _ {1/2}} $$ and 5$$\varvec {^ 2\textbf {P} _ {3/2}} $$ transitions in rubidium …;
2022;APS Division of Atomic;MolecularandOpticalPhysicsMeetingAbstracts2022…;Electron-impact excitation of Sc II;
2021;Plasma Sources Science and Technology 30 (11);115019;Transport of electrons and propagation of the negative ionisation fronts in indium vapour;
2021;Abhijit Dasgupta;CharlotteF.Fischer;Improved Transition Oscillator Probabilities for Laser Transitions in Xe I;
2021;s Note: MDPI stays neutral with regard to jurisdictional claims in published …;sNote:MDPIstaysneutralwithregardtojurisdictionalclaimsinpublished…;Relativistic B-Spline R-Matrix Calculations for Electron Collisions with Ytterbium. Atoms 2021_ 9_ 47;
2021;APS Annual Gaseous Electronics Meeting Abstracts;GT61.063;Electron impact excitation collision strengths and radiative parameters for Sc II spectral lines;
2021;APS Annual Gaseous Electronics Meeting Abstracts;PR23.001;A Science Gateway for Atomic and Molecular Physics: Democratizing Atomic and Molecular Physics Research and Education;
2021;APS Annual Gaseous Electronics Meeting Abstracts;PR23.002;B-Spline Atomic R-Matrix Calculations on the AMPGateway;
2020;American Astronomical Society Meeting Abstracts# 236 236;145.08;Radiative Transition Probabilities and Photoionization Cross Sections for Cr I;
2020;APS Division of Atomic;MolecularandOpticalPhysicsMeetingAbstracts2020…;A combined B-spline R-matrix approach for the study of time-dependent multielectron dynamics in complex atoms.;
2019;VizieR Online Data Catalog;J/A+A/627/A177;VizieR Online Data Catalog: Non-LTE analysis of KI in late-type stars (Reggiani+_ 2019);
2019;APS Division of Atomic;MolecularandOpticalPhysicsMeetingAbstracts2019…;Effect of cascade transitions after electron-impact excitation of Zn by spin-polarized electrons.;
2019;APS Annual Gaseous Electronics Meeting Abstracts;FT1.034;Using a collisional-radiative model to validate e-Xe+ cross sections calculated by the Dirac B-spline R-matrix approach;
2019;APS Annual Gaseous Electronics Meeting Abstracts;MW1.020;A comprehensive collisional-radiative model for Xe+ and Xe excited species;
2019;APS April Meeting Abstracts 2019;S01.007;Simulation of Fe II Emission Spectra in Active Galactic Nuclei;
2018;VizieR Online Data Catalog;J/ApJ/850/147;VizieR Online Data Catalog: Effective collision strengths for OIII transitions (Tayal+_ 2017);
2018;Bulletin of the American Physical Society 63;BulletinoftheAmericanPhysicalSociety63;Electron Impact Excitation Cross Sections for S;
2018;APS Division of Atomic;MolecularandOpticalPhysicsMeetingAbstracts2018…;B-spline R-matrix with pseudo-states calculations for electron-impact excitation and ionization of calcium;
2018;APS Division of Atomic;MolecularandOpticalPhysicsMeetingAbstracts2018…;Electron-impact excitation cross sections for Fe I;
2018;APS Division of Atomic;MolecularandOpticalPhysicsMeetingAbstracts2018…;Cross Sections and Spin Asymmetries for Electron Collisions with Lead;
2018;APS Division of Atomic;MolecularandOpticalPhysicsMeetingAbstracts2018…;Electron-impact excitation of Fe II;
2018;APS Division of Atomic;MolecularandOpticalPhysicsMeetingAbstracts2018…;Comprehensive out-of-plane (e_ 2 e) measurements and calculations on He autoionizing levels;
2018;Journal of Physics B: Atomic;035004;Low-energy outer-shell photo-detachment of the negative ion of aluminum;
2018;APS Annual Gaseous Electronics Meeting Abstracts;PR1.002;Light polarization after electron impact excitation of Zinc.;
2018;APS Annual Gaseous Electronics Meeting Abstracts;PR1.007;Dirac B-spline R-Matrix Calculations for e-Xe+ collisions.;
2018;APS Annual Gaseous Electronics Meeting Abstracts;PR1.003;Cross Sections and Spin Asymmetries for Electron Collisions with Lead Atoms;
2017;Bulletin of the American Physical Society 62;BulletinoftheAmericanPhysicalSociety62;Electron Impact Excitation of Xenon;
2017;Bulletin of the American Physical Society 62;BulletinoftheAmericanPhysicalSociety62;Transition rates and electron impact excitation rates for O III;
2017;Journal of Physics: Conference Series 875 (6);052002;Electron impact excitation of O III;
2017;VizieR Online Data Catalog;J/ApJ/788/24;VizieR Online Data Catalog: Collision strengths for transitions in Fe VII (Tayal+_ 2014);
2017;VizieR Online Data Catalog;J/A+A/606/A11;VizieR Online Data Catalog: Inelastic e+ Mg collision data (Barklem+_ 2017);
2017;APS Division of Atomic;MolecularandOpticalPhysicsMeetingAbstracts2017…;Comprehensive out-of-plane (e_ 2 e) measurements on He autoionizing levels;
2017;APS Division of Atomic;MolecularandOpticalPhysicsMeetingAbstracts2017…;B-spline R-matrix calculations for electron-impact excitation of N3+;
2016;APS Annual Gaseous Electronics Meeting Abstracts;UF1.005;Benchmark calculations for electron-impact excitation and ionization of beryllium;
2016;APS Division of Atomic;MolecularandOpticalPhysicsMeetingAbstracts2016…;Electron Impact Excitation and Ionization of Atomic Oxygen;
2016;VizieR Online Data Catalog;J/ApJ/812/174;VizieR Online Data Catalog: Collision strengths in FeIX (Tayal+_ 2015);
